Framework,Version,CIS Asset Type,NIST Category,Control ID,Control Description,Custom Mapping Category,Custom Mapping Criteria,Review Req.,Custom Mapping Sub Type,Implementation Market Technologies,Rapid7 Implementation Products (Custom Script),Supporting Market Technologies,Rapid7 Supporting Products (Custom Script),Technical Details,Primary Control Support,Evidence Available,Native R7 Data,3rd Party Data,Type,Implementation Details,Sub-Category,Additional Details,Product API,Delivered
"CIS IG3, CIS IG2, CIS IG1",8.1.2,Devices,Identify,1.1,"Establish and maintain an accurate, detailed, and up-to-date inventory of all enterprise assets with the potential to store or process data, to include: end-user devices (including portable and mobile), network devices, non-computing/IoT devices, and servers. Ensure the inventory records the network address (if static), hardware address, machine name, enterprise asset owner, department for each asset, and whether the asset has been approved to connect to the network. For mobile end-user devices, MDM type tools can support this process, where appropriate. This inventory includes assets connected to the infrastructure physically, virtually, remotely, and those within cloud environments. Additionally, it includes assets that are regularly connected to the enterprise’s network infrastructure, even if they are not under control of the enterprise. Review and update the inventory of all enterprise assets bi-annually, or more frequently.",Inventory,Technology,True,Active Monitoring,"CAASM, CMDB, AM, DS","Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, N/A, Surface Command, Vector Command","AM, CAASM, CMDB, CNAPP, DS, EASM, MDM, VM","DSPM Add-On, Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command","cloud, network","Show Results, Deployed Technology",Control Met,Yes,Yes,,,Establish and Maintain Detailed Enterprise Asset Inventory,"""POI devices that capture payment card data via direct physical interaction with the payment card form factor are protected from tampering and unauthorized substitution, including the following:
• Maintaining a list of POI devices.
• Periodically inspecting POI devices to look for tampering or unauthorized substitution.
• Training personnel to be aware of suspicious behavior and to report tampering or unauthorized substitution of devices.""
""An up-to-date list of POI devices is maintained, including:
• Make and model of the device.
• Location of device.
• Device serial number or other methods of unique identification.""
Wireless access points are identified and monitored, and unauthorized wireless access points are addressed.
""Authorized and unauthorized wireless access points are managed as follows:
• The presence of wireless (Wi-Fi) access points is tested for,
• All authorized and unauthorized wireless access points are detected and identified,
• Testing, detection, and identification occurs at least once every three months.
• If automated monitoring is used, personnel are notified via generated alerts.""
An inventory of authorized wireless access points is maintained, including a documented business justification.
PCI DSS scope is documented and validated.
An inventory of system components that are in scope for PCI DSS, including a description of function/use, is maintained and kept current.",,
"CIS IG3, CIS IG1, CIS IG2",8.1.2,Devices,Respond,1.2,"Ensure that a process exists to address unauthorized assets on a weekly basis. The enterprise may choose to remove the asset from the network, deny the asset from connecting remotely to the network, or quarantine the asset.",Inventory,Process,True,Remediations,"CAASM, EASM, VM, NTA, NSM, SOAR","Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, NTA Add-On, Nexpose, Surface Command, Vector Command, insightConnect, insightIDR, insightVM","CAASM, EASM, NSM, NTA, SOAR, VM","Exposure Command, Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, NTA Add-On, Nexpose, Surface Command, Ultimate, Vector Command, insightAppSec, insightConnect, insightIDR, insightVM","quarantine, network","Attach Process Doc, Show Remediations",Control Supported,No,Yes,,via documented process,Address Unauthorized Assets,"Authorized and unauthorized wireless access points are managed as follows:
• The presence of wireless (Wi-Fi) access points is tested for,
• All authorized and unauthorized wireless access points are detected and identified,
• Testing, detection, and identification occurs at least once every three months.
• If automated monitoring is used, personnel are notified via generated alerts.",,
"CIS IG3, CIS IG2",8.1.2,Devices,Detect,1.3,"Utilize an active discovery tool to identify assets connected to the enterprise’s network. Configure the active discovery tool to execute daily, or more frequently.",Inventory,Technology,False,Active Monitoring,VM,"Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Managed Threat Complete, Nexpose, insightVM","NTA, SIEM, VM","Exposure Command, Exposure Command Advanced, Exposure Command Essentials, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, Nexpose, Ultimate, Vector Command, insightAppSec, insightVM",network,"Show Scans, Monitoring Enabled",Control Met,Yes,Yes,,"Network & agent scans for IVM.
EASM for SC.",Utilize an Active Discovery Tool,,,
"CIS IG3, CIS IG2",8.1.2,Devices,Identify,1.4,"Use DHCP logging on all DHCP servers or Internet Protocol (IP) address management tools to update the enterprise’s asset inventory. Review and use logs to update the enterprise’s asset inventory weekly, or more frequently.",Inventory,Technology,True,Passive Monitoring,Infrastructure,,"CAASM, Infrastructure, SIEM, VM","Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command","dhcp, protocol, logging, logging","Show Results, Monitoring Enabled",Control Met,Yes,No,,via log ingestion & NTA or ,Use Dynamic Host Configuration Protocol (DHCP) Logging to Update Enterprise Asset Inventory,,,
CIS IG3,8.1.2,Devices,Detect,1.5,"Use a passive discovery tool to identify assets connected to the enterprise’s network. Review and use scans to update the enterprise’s asset inventory at least weekly, or more frequently.",Inventory,Technology,True,Passive Monitoring,"NTA, NSM, IDS, IPS","Incident Command Ultimate, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, N/A, NTA Add-On, insightIDR","IDS, IPS, NSM, NTA, SIEM","Incident Command Ultimate, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, N/A, NTA Add-On, insightIDR","passive, network",Monitoring Enabled,Control Met,Yes,No,,via NTA,Use a Passive Asset Discovery Tool,,,
"CIS IG3, CIS IG2, CIS IG1",8.1.2,Software,Identify,2.1,"Establish and maintain a detailed inventory of all licensed software installed on enterprise assets. The software inventory must document the title, publisher, initial install/use date, and business purpose for each entry; where appropriate, include the Uniform Resource Locator (URL), app store(s), version(s), deployment mechanism, and decommission date. Review and update the software inventory bi-annually, or more frequently.",Inventory,Technology,True,Active Monitoring,"CAASM, CMDB","Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command","AM, CAASM, CM, CMDB, CNAPP, MDM, VM","Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command",,"Show Results, Deployed Technology",Control Met,Yes,Yes,,SC future state,Establish and Maintain a Software Inventory,"All services, protocols, and ports allowed are identified, approved, and have a defined business need.",,
"CIS IG3, CIS IG2, CIS IG2",8.1.2,Software,Identify,2.2,"Ensure that only currently supported software is designated as authorized in the software inventory for enterprise assets. If software is unsupported, yet necessary for the fulfillment of the enterprise’s mission, document an exception detailing mitigating controls and residual risk acceptance. For any unsupported software without an exception documentation, designate as unauthorized. Review the software list to verify software support at least monthly, or more frequently.",Inventory,Process,True,Active Monitoring,"CAASM, CMDB","Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command","AM, CAASM, CM, CMDB, CNAPP, MDM, VM","Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command",,"Show Configuration, Show Results",Control Supported,Yes,Yes,,"SC future state
(Q2)",Ensure Authorized Software is Currently Supported ,"If any insecure services, protocols, or daemons are present:
• Business justification is documented.
• Additional security features are documented and implemented that reduce the risk of using insecure services, protocols, or daemons.",,
"CIS IG3, CIS IG2, CIS IG3",8.1.2,Software,Respond,2.3,"Ensure that unauthorized software is either removed from use on enterprise assets or receives a documented exception. Review monthly, or more frequently.",Inventory,Process,True,"Active Monitoring, Remediations","CAASM, CMDB","Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command","AM, CAASM, CM, CMDB, CNAPP, MDM, VM","Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command",,Show Remediations,Control Supported,Yes,Yes,,"SC future state
(Q2)
custom VM policy",Address Unauthorized Software,"Hardware and software technologies in use are reviewed at least once every 12 months, including at least the following:
• Analysis that the technologies continue to receive security fixes from vendors promptly.
• Analysis that the technologies continue to support (and do not preclude) the entity’s PCI DSS compliance.
• Documentation of any industry announcements or trends related to a technology, such as when a vendor has announced “end of life” plans for a technology.
• Documentation of a plan, approved by senior management, to remediate outdated technologies, including those for which vendors have announced “end of life” plans.",,
"CIS IG3, CIS IG2",8.1.2,Software,Detect,2.4,"Utilize software inventory tools, when possible, throughout the enterprise to automate the discovery and documentation of installed software. ",Inventory,Technology,False,Active Monitoring,"CAASM, CMDB","Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command","AM, CAASM, CM, CMDB, CNAPP, MDM, VM","Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command",,Show Results,Control Supported,Yes,Yes,,SC future state,Utilize Automated Software Inventory Tools,,,
"CIS IG3, CIS IG2",8.1.2,Software,Protect,2.5,"Use technical controls, such as application allowlisting, to ensure that only authorized software can execute or be accessed. Reassess bi-annually, or more frequently.",Posture,Technology,True,Active Monitoring,"AM, MDM, EPP, CM","N/A, Ransomware Prevention Add-On","AM, CAASM, CM, EPP, MDM, VM","Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, MDR, Managed Threat Complete, Ransomware Prevention, Surface Command, Vector Command, insightIDR, insightVM",,Show Configuration,Control Supported,No,Yes,,???,Allowlist Authorized Software,"All services, protocols, and ports allowed are identified, approved, and have a defined business need.",,
